cfl_game_id,sked_id,week_name,week_short,week_id,game_num,game_date,date_tbd,time_tbd,game_status,away_team,away_initial,away_score1,away_score2,away_score3,away_score4,away_scoreOT,away_id,home_team,home_initial,home_score1,home_score2,home_score3,home_score4,home_scoreOT,home_id,attendance,sold_out,is_visible,culture
143,75,Week 16,16,20,72,05-10-08 19:00,0,0,Final,Montreal,mtl,14,7,7,10,0,9,Saskatchewan,ssk,0,17,14,3,0,4,26900,0,1,en
145,76,Week 16,16,20,73,05-10-10 13:00,0,0,Final,Edmonton,edm,7,0,3,7,0,3,Toronto,tor,7,2,1,3,0,7,34116,0,1,en
147,77,Week 16,16,20,74,05-10-10 16:00,0,0,Final,BC,bc,7,9,7,0,0,1,Winnipeg,wpg,7,14,8,15,0,5,22630,0,1,en
149,78,Week 17,17,21,75,05-10-14 21:00,0,0,Final,Hamilton,ham,6,0,3,8,0,6,Calgary,cgy,3,10,0,21,0,2,29490,0,1,en
151,79,Week 17,17,21,76,05-10-15 15:00,0,0,Final,Saskatchewan,ssk,0,14,0,4,0,4,Edmonton,edm,3,6,3,7,0,3,53216,0,1,en
153,80,Week 17,17,21,77,05-10-16 13:00,0,0,Final,BC,bc,0,21,7,16,0,1,Montreal,mtl,3,15,14,14,0,9,20202,0,1,en
155,81,Week 17,17,21,78,05-10-16 16:00,0,0,Final,Toronto,tor,3,12,7,13,0,7,Winnipeg,wpg,11,3,7,11,0,5,22323,0,1,en
157,82,Week 18,18,22,79,05-10-21 19:30,0,0,Final,Ottawa,ott,0,14,0,18,0,8,Hamilton,ham,7,10,9,14,0,6,26912,0,1,en
159,83,Week 18,18,22,80,05-10-22 15:00,0,0,Final,Toronto,tor,19,6,17,7,0,7,Montreal,mtl,7,9,0,7,0,9,51269,0,1,en
161,84,Week 18,18,22,81,05-10-22 22:00,0,0,Final,Winnipeg,wpg,0,0,1,0,0,5,BC,bc,3,21,14,3,0,1,29780,0,1,en
163,85,Week 18,18,22,82,05-10-23 16:00,0,0,Final,Calgary,cgy,0,6,11,12,0,2,Saskatchewan,ssk,3,18,0,0,0,4,28800,0,1,en
